PassengerId,Age,SibSp,Parch,Fare,Sex,Embarked,Pclass,Cabin,Survived
282,28,0,0,7,0,0,3,1000,0
283,16,0,0,9,0,0,3,1000,0
284,19,0,0,8,0,0,3,3000,1
285,41,0,0,26,0,0,1,7019,0
286,33,0,0,8,0,2,3,2000,0
287,30,0,0,9,0,0,3,3000,1
288,22,0,0,7,0,0,3,1000,0
289,42,0,0,13,0,0,2,5000,1
290,22,0,0,7,1,1,3,3000,1
291,26,0,0,78,1,0,1,5000,1
292,19,1,0,91,1,2,1,6049,1
293,36,0,0,12,0,2,2,4000,0
294,24,0,0,8,1,0,3,1000,0
295,24,0,0,7,0,0,3,1000,0
296,38,0,0,27,0,2,1,6000,0
297,23,0,0,7,0,2,3,2000,0
298,2,1,2,151,1,0,1,5022,0
299,41,0,0,30,0,0,1,5106,1
300,50,0,1,247,1,2,1,6058,1
301,29,0,0,7,1,1,3,3000,1
302,28,2,0,23,0,1,3,3000,1
303,19,0,0,0,0,0,3,1000,0
304,38,0,0,12,1,1,2,3101,1
305,28,0,0,8,0,0,3,1000,0
306,0,1,2,151,0,0,1,5022,1
307,42,0,0,110,1,2,1,6000,1
308,17,1,0,108,1,2,1,5065,1
309,30,1,0,24,0,2,2,5000,0
310,30,0,0,56,1,2,1,3036,1
311,24,0,0,83,1,2,1,5054,1
312,18,2,2,262,1,2,1,6057,1
313,26,1,1,26,1,0,2,5000,0
314,28,0,0,7,0,0,3,1000,0
315,43,1,1,26,0,0,2,5000,0
316,26,0,0,7,1,0,3,3000,1
317,24,1,0,26,1,0,2,5000,1
318,54,0,0,14,0,0,2,5000,0
319,31,0,2,164,1,0,1,5007,1
320,40,1,1,134,1,2,1,3034,1
321,22,0,0,7,0,0,3,1000,0
322,27,0,0,7,0,0,3,1000,0
323,30,0,0,12,1,1,2,3000,1
324,22,1,1,29,1,0,2,2000,1
325,19,8,2,69,0,0,3,5000,0
326,36,0,0,135,1,2,1,5032,1
327,61,0,0,6,0,0,3,1000,0
328,36,0,0,13,1,0,2,4000,1
329,31,1,1,20,1,0,3,3000,1
330,16,0,1,57,1,2,1,6018,1
331,29,2,0,23,1,1,3,3000,1
332,45,0,0,28,0,0,1,5124,0
333,38,0,1,153,0,0,1,5091,0
334,16,2,0,18,0,0,3,5000,0
335,49,1,0,133,1,0,1,5000,1
336,39,0,0,7,0,0,3,1000,0
337,29,1,0,66,0,0,1,5002,0
338,41,0,0,134,1,2,1,3040,1
339,45,0,0,8,0,0,3,3000,1
340,45,0,0,35,0,0,1,7000,0
341,2,1,1,26,0,0,2,2002,1
342,24,3,2,263,1,0,1,5023,1
343,28,0,0,13,0,0,2,5000,0
344,25,0,0,13,0,0,2,5000,0
345,36,0,0,13,0,0,2,5000,0
346,24,0,0,13,1,0,2,2033,1
347,40,0,0,13,1,0,2,3000,1
348,25,1,0,16,1,0,3,3000,1
349,3,1,1,15,0,0,3,3000,1
350,42,0,0,8,0,0,3,1000,0
351,23,0,0,9,0,0,3,1000,0
352,41,0,0,35,0,0,1,5128,0
353,15,1,1,7,0,2,3,3000,0
354,25,1,0,17,0,0,3,5000,0
355,37,0,0,7,0,2,3,2000,0
356,28,0,0,9,0,0,3,1000,0
357,22,0,1,55,1,0,1,3033,1
358,38,0,0,13,1,0,2,3000,0
359,29,0,0,7,1,1,3,3000,1
360,29,0,0,7,1,1,3,3000,1
361,40,1,4,27,0,0,3,1000,0
362,29,1,0,27,0,2,2,5000,0
363,45,0,1,14,1,2,3,5000,0
364,35,0,0,7,0,0,3,1000,0
365,32,1,0,15,0,1,3,5000,0
366,30,0,0,7,0,0,3,1000,0
367,60,1,0,75,1,2,1,4037,1
368,27,0,0,7,1,2,3,3000,1
369,29,0,0,7,1,1,3,3000,1
370,24,0,0,69,1,2,1,6035,1
371,25,1,0,55,0,2,1,3050,1
372,18,1,0,6,0,0,3,1000,0
373,19,0,0,8,0,0,3,1000,0
374,22,0,0,135,0,2,1,6000,0
375,3,3,1,21,1,0,3,5000,0
376,42,1,0,82,1,2,1,6000,1
377,22,0,0,7,1,0,3,3000,1
378,27,0,2,211,0,2,1,5082,0
379,20,0,0,4,0,2,3,2000,0
380,19,0,0,7,0,0,3,1000,0
381,42,0,0,227,1,2,1,6000,1
382,1,0,2,15,1,2,3,6000,1
383,32,0,0,7,0,0,3,1000,0
384,35,1,0,52,1,0,1,5000,1
385,39,0,0,7,0,0,3,1000,0
386,18,0,0,73,0,0,2,5000,0
387,1,5,2,46,0,0,3,5000,0
388,36,0,0,13,1,0,2,3000,1
389,26,0,0,7,0,1,3,2000,0
390,17,0,0,12,1,2,2,4000,1
391,36,1,2,120,0,0,1,6096,1
392,21,0,0,7,0,0,3,3000,1
393,28,2,0,7,0,0,3,1000,0
394,23,1,0,113,1,2,1,4036,1
395,24,0,2,16,1,0,3,1006,1
396,22,0,0,7,0,0,3,1000,0
397,31,0,0,7,1,0,3,1000,0
398,46,0,0,26,0,0,2,5000,0
399,23,0,0,10,0,0,2,4000,0
400,28,0,0,12,1,0,2,4000,1
401,39,0,0,7,0,0,3,3000,1
402,26,0,0,8,0,0,3,1000,0
403,21,1,0,9,1,0,3,1000,0
404,28,1,0,15,0,0,3,5000,0
405,20,0,0,8,1,0,3,1000,0
406,34,1,0,21,0,0,2,5000,0
407,51,0,0,7,0,0,3,1000,0
408,3,1,1,18,0,0,2,2000,1
409,21,0,0,7,0,0,3,1000,0
410,22,3,1,25,1,0,3,5000,0
411,39,0,0,7,0,0,3,1000,0
412,27,0,0,6,0,1,3,2000,0
413,33,1,0,90,1,1,1,5078,1
414,24,0,0,0,0,0,2,4000,0
415,44,0,0,7,0,0,3,3000,1
416,32,0,0,8,1,0,3,1000,0
417,34,1,1,32,1,0,2,2000,1
418,18,0,2,13,1,0,2,2000,1
419,30,0,0,13,0,0,2,5000,0
420,10,0,2,24,1,0,3,1000,0
421,32,0,0,7,0,2,3,2000,0
422,21,0,0,7,0,1,3,2000,0
423,29,0,0,7,0,0,3,1000,0
424,28,1,1,14,1,0,3,1000,0
425,18,1,1,20,0,0,3,1000,0
426,32,0,0,7,0,0,3,1000,0
427,28,1,0,26,1,0,2,2000,1
428,19,0,0,26,1,0,2,6000,1
429,27,0,0,7,0,1,3,2000,0
430,32,0,0,8,0,0,3,3010,1
431,28,0,0,26,0,0,1,5052,1
432,25,1,0,16,1,0,3,3000,1
433,42,1,0,26,1,0,2,4000,1
434,17,0,0,7,0,0,3,1000,0
435,50,1,0,55,0,0,1,3044,0
436,14,1,2,120,1,0,1,6096,1
437,21,2,2,34,1,0,3,5000,0
438,24,2,3,18,1,0,2,2000,1
439,64,1,4,263,0,0,1,5023,0
440,31,0,0,10,0,0,2,2000,0
441,45,1,1,26,1,0,2,2000,1
442,20,0,0,9,0,0,3,1000,0
443,25,1,0,7,0,0,3,1000,0
444,28,0,0,13,1,0,2,4000,1
445,24,0,0,8,0,0,3,3000,1
446,4,0,2,81,0,0,1,7034,1
447,13,0,1,19,1,0,2,2000,1
448,34,0,0,26,0,0,1,5000,1
449,5,2,1,19,1,2,3,3000,1
450,52,0,0,30,0,0,1,5104,1
451,36,1,2,27,0,0,2,2000,0
452,30,1,0,19,0,0,3,5000,0
453,30,0,0,27,0,2,1,5111,0
454,49,1,0,89,0,2,1,5092,1
455,28,0,0,8,0,0,3,1000,0
456,29,0,0,7,0,2,3,3000,1
457,65,0,0,26,0,0,1,3038,0
458,48,1,0,51,1,0,1,4021,1
459,50,0,0,10,1,0,2,3000,1
460,27,0,0,7,0,1,3,2000,0
461,48,0,0,26,0,0,1,3012,1
462,34,0,0,8,0,0,3,1000,0
463,47,0,0,38,0,0,1,3063,0
464,48,0,0,13,0,0,2,5000,0
465,28,0,0,8,0,0,3,1000,0
466,38,0,0,7,0,0,3,1000,0
467,24,0,0,0,0,0,2,4000,0
468,56,0,0,26,0,0,1,5000,0
469,26,0,0,7,0,1,3,2000,0
470,0,2,1,19,1,2,3,6000,1
471,32,0,0,7,0,0,3,1000,0
472,38,0,0,8,0,0,3,1000,0
473,33,1,2,27,1,0,2,2000,1
474,23,0,0,13,1,2,2,4000,1
475,22,0,0,9,1,0,3,1000,0
476,42,0,0,52,0,0,1,7014,0
477,34,1,0,21,0,0,2,5000,0
478,29,1,0,7,0,0,3,1000,0
479,22,0,0,7,0,0,3,1000,0
480,2,0,1,12,1,0,3,1000,1
481,9,5,2,46,0,0,3,5000,0
482,24,0,0,0,0,0,2,4000,0
483,50,0,0,8,0,0,3,3000,0
484,63,0,0,9,1,0,3,3000,1
485,25,1,0,91,0,2,1,6049,1
486,22,3,1,25,1,0,3,5000,0
487,35,1,0,90,1,0,1,5093,1
488,58,0,0,29,0,2,1,6037,0
489,30,0,0,8,0,0,3,1000,0
490,9,1,1,15,0,0,3,3000,1
491,30,1,0,19,0,0,3,5000,0
492,21,0,0,7,0,0,3,1000,0
493,55,0,0,30,0,0,1,5030,0
494,71,0,0,49,0,2,1,6000,0
495,21,0,0,8,0,0,3,1000,0
496,37,0,0,14,0,2,3,2000,0
497,54,1,0,78,1,2,1,4020,1
498,28,0,0,15,0,0,3,1000,0
499,25,1,2,151,1,0,1,5022,0
500,24,0,0,7,0,0,3,1000,0
501,17,0,0,8,0,0,3,1000,0
502,21,0,0,7,1,1,3,2000,0
503,31,0,0,7,1,1,3,2000,0
504,37,0,0,9,1,0,3,1000,0
505,16,0,0,86,1,0,1,6079,1
506,18,1,0,108,0,2,1,5065,0
507,33,0,2,26,1,0,2,2000,1
508,41,0,0,26,0,0,1,5000,1
509,28,0,0,22,0,0,3,1000,0
510,26,0,0,56,0,0,3,3000,1
511,29,0,0,7,0,1,3,3000,1
512,28,0,0,8,0,0,3,1000,0
513,36,0,0,26,0,0,1,3025,1
514,54,1,0,59,1,2,1,6000,1
515,24,0,0,7,0,0,3,1000,0
516,47,0,0,34,0,0,1,4046,0
517,34,0,0,10,1,0,2,2033,1
518,36,0,0,24,0,1,3,2000,0
519,36,1,0,26,1,0,2,2000,1
520,32,0,0,7,0,0,3,1000,0
521,30,0,0,93,1,0,1,6073,1
522,22,0,0,7,0,0,3,1000,0
523,37,0,0,7,0,2,3,2000,0
524,44,0,1,57,1,2,1,6018,1
525,37,0,0,7,0,2,3,2000,0
526,40,0,0,7,0,1,3,2000,0
527,50,0,0,10,1,0,2,3000,1
528,45,0,0,221,0,0,1,5095,0
529,39,0,0,7,0,0,3,1000,0
530,23,2,1,11,0,0,2,2000,0
531,2,1,1,26,1,0,2,2000,1
532,37,0,0,7,0,2,3,2000,0
533,17,1,1,7,0,2,3,3000,0
534,29,0,2,22,1,2,3,3000,1
535,30,0,0,8,1,0,3,1000,0
536,7,0,2,26,1,0,2,2000,1
537,45,0,0,26,0,0,1,6038,0
538,30,0,0,106,1,2,1,5000,1
539,27,0,0,14,0,0,3,1000,0
540,22,0,2,49,1,2,1,6039,1
541,36,0,2,71,1,0,1,6022,1
542,9,4,2,31,1,0,3,5000,0
543,11,4,2,31,1,0,3,5000,0
544,32,1,0,26,0,0,2,5000,1
545,50,1,0,106,0,2,1,5086,0
546,64,0,0,26,0,0,1,5000,0
547,19,1,0,26,1,0,2,2000,1
548,32,0,0,13,0,2,2,4000,1
549,33,1,1,20,0,0,3,5000,0
550,8,1,1,36,0,0,2,2000,1
551,17,0,2,110,0,2,1,5070,1
552,27,0,0,26,0,0,2,5000,0
553,26,0,0,7,0,1,3,2000,0
554,22,0,0,7,0,2,3,3000,1
555,22,0,0,7,1,0,3,3000,1
556,62,0,0,26,0,0,1,5000,0
557,48,1,0,39,1,2,1,7016,1
558,40,0,0,227,0,2,1,6000,0
559,39,1,1,79,1,0,1,3067,1
560,36,1,0,17,1,0,3,1000,1
561,27,0,0,7,0,1,3,2000,0
562,40,0,0,7,0,0,3,1000,0
563,28,0,0,13,0,0,2,5000,0
564,28,0,0,8,0,0,3,1000,0
565,32,0,0,8,1,0,3,1000,0
566,24,2,0,24,0,0,3,5000,0
567,19,0,0,7,0,0,3,1000,0
568,29,0,4,21,1,0,3,1000,0
569,37,0,0,7,0,2,3,2000,0
570,32,0,0,7,0,0,3,3000,1
571,62,0,0,10,0,0,2,4000,1
572,53,2,0,51,1,0,1,5101,1
573,36,0,0,26,0,0,1,3025,1
574,29,0,0,7,1,1,3,3000,1
575,16,0,0,8,0,0,3,1000,0
576,19,0,0,14,0,0,3,1000,0
577,34,0,0,13,1,0,2,3000,1
578,39,1,0,55,1,0,1,3044,1
579,36,1,0,14,1,2,3,5000,0
580,32,0,0,7,0,0,3,3000,1
581,25,1,1,30,1,0,2,2000,1
582,39,1,1,110,1,2,1,5068,1
583,54,0,0,26,0,0,2,5000,0
584,36,0,0,40,0,2,1,7010,0
585,35,0,0,8,0,2,3,2000,0
586,18,0,2,79,1,0,1,3068,1
587,47,0,0,15,0,0,2,5000,0
588,60,1,1,79,0,2,1,6041,1
589,22,0,0,8,0,0,3,1000,0
590,28,0,0,8,0,0,3,1000,0
591,35,0,0,7,0,0,3,1000,0
592,52,1,0,78,1,2,1,4020,1
593,47,0,0,7,0,0,3,1000,0
594,39,0,2,7,1,1,3,2000,0
595,37,1,0,26,0,0,2,5000,0
596,36,1,1,24,0,0,3,1000,0
597,29,0,0,33,1,0,2,5000,1
598,49,0,0,0,0,0,3,1000,0
599,37,0,0,7,0,2,3,2000,0
600,49,1,0,56,0,2,1,7020,1
601,24,2,1,27,1,0,2,2000,1
602,39,0,0,7,0,0,3,1000,0
603,41,0,0,42,0,0,1,5000,0
604,44,0,0,8,0,0,3,1000,0
605,35,0,0,26,0,2,1,6000,1
606,36,1,0,15,0,0,3,5000,0
607,30,0,0,7,0,0,3,1000,0
608,27,0,0,30,0,0,1,6000,1
609,22,1,2,41,1,2,2,6000,1
610,40,0,0,153,1,0,1,5125,1
611,39,1,5,31,1,0,3,1000,0
612,36,0,0,7,0,0,3,1000,0
613,28,1,0,15,1,1,3,3000,1
614,27,0,0,7,0,1,3,2000,0
615,35,0,0,8,0,0,3,1000,0
616,24,1,2,65,1,0,2,2000,1
617,34,1,1,14,0,0,3,1000,0
618,26,1,0,16,1,0,3,1000,0
619,4,2,1,39,1,0,2,2004,1
620,26,0,0,10,0,0,2,2000,0
621,27,1,0,14,0,2,3,5000,0
622,42,1,0,52,0,0,1,4019,1
623,20,1,1,15,0,2,3,3000,1
624,21,0,0,7,0,0,3,1000,0
625,21,0,0,16,0,0,3,1000,0
626,61,0,0,32,0,0,1,4050,0
627,57,0,0,12,0,1,2,5000,0
628,21,0,0,77,1,0,1,4009,1
629,26,0,0,7,0,0,3,1000,0
630,26,0,0,7,0,1,3,2000,0
631,80,0,0,30,0,0,1,7023,1
632,51,0,0,7,0,0,3,3000,0
633,32,0,0,30,0,2,1,6050,1
634,42,0,0,0,0,0,1,6000,0
635,9,3,2,27,1,0,3,5000,0
636,28,0,0,13,1,0,2,3000,1
637,32,0,0,7,0,0,3,1000,0
638,31,1,1,26,0,0,2,5000,0
639,41,0,5,39,1,0,3,1000,0
640,30,1,0,16,0,0,3,5000,0
641,20,0,0,7,0,0,3,1000,0
642,24,0,0,69,1,2,1,6035,1
643,2,3,2,27,1,0,3,5000,0
644,30,0,0,56,0,0,3,3000,1
645,0,2,1,19,1,2,3,6000,1
646,48,1,0,76,0,2,1,4033,1
647,19,0,0,7,0,0,3,1000,0
648,56,0,0,35,0,2,1,7026,1
649,41,0,0,7,0,0,3,1000,0
650,23,0,0,7,1,0,3,3000,1
651,39,0,0,7,0,0,3,1000,0
652,18,0,1,23,1,0,2,2000,1
653,21,0,0,8,0,0,3,1000,0
654,29,0,0,7,1,1,3,3000,1
655,18,0,0,6,1,1,3,2000,0
656,24,2,0,73,0,0,2,5000,0
657,39,0,0,7,0,0,3,1000,0
658,32,1,1,15,1,1,3,5000,0
659,23,0,0,13,0,0,2,5000,0
660,58,0,2,113,0,2,1,4048,0
661,50,2,0,133,0,0,1,5000,1
662,40,0,0,7,0,2,3,2000,0
