,survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
180,0,male,44.0,2,0,90.0,First,C,Queenstown,n
183,0,female,29.0,1,1,10.4625,Third,G,Southampton,n
191,0,male,40.0,0,0,0.0,First,B,Southampton,y
196,1,female,58.0,0,1,153.4625,First,C,Southampton,n
197,1,female,35.0,0,0,135.6333,First,C,Southampton,y
201,0,male,37.0,0,1,29.7,First,C,Cherbourg,n
203,1,female,63.0,1,0,77.9583,First,D,Southampton,n
210,0,male,28.0,0,0,26.0,First,A,Southampton,y
212,0,male,36.0,0,0,12.875,Second,D,Cherbourg,y
214,1,male,28.0,0,0,30.5,First,C,Southampton,y
215,1,female,50.0,0,1,247.5208,First,B,Cherbourg,n
218,1,female,28.0,0,0,12.35,Second,E,Queenstown,y
221,1,female,17.0,1,0,108.9,First,C,Cherbourg,n
223,1,female,30.0,0,0,56.9292,First,E,Cherbourg,y
224,1,female,24.0,0,0,83.1583,First,C,Cherbourg,y
225,1,female,18.0,2,2,262.375,First,B,Cherbourg,n
230,1,female,31.0,0,2,164.8667,First,C,Southampton,n
231,1,female,40.0,1,1,134.5,First,E,Cherbourg,n
236,1,female,36.0,0,0,135.6333,First,C,Cherbourg,y
240,0,male,38.0,0,1,153.4625,First,C,Southampton,n
243,0,male,29.0,1,0,66.6,First,C,Southampton,n
249,1,female,24.0,0,0,13.0,Second,F,Southampton,y
256,1,female,22.0,0,1,55.0,First,E,Southampton,n
265,1,female,60.0,1,0,75.25,First,D,Cherbourg,n
268,1,female,24.0,0,0,69.3,First,B,Cherbourg,y
272,0,male,27.0,0,2,211.5,First,C,Cherbourg,n
281,1,male,36.0,1,2,120.0,First,B,Southampton,n
283,1,female,23.0,1,0,113.275,First,D,Cherbourg,n
284,1,female,24.0,0,2,16.7,Third,G,Southampton,n
309,1,male,32.0,0,0,8.05,Third,E,Southampton,y
310,1,male,28.0,0,0,26.55,First,C,Southampton,y
314,0,male,50.0,1,0,55.9,First,E,Southampton,n
315,1,female,14.0,1,2,120.0,First,B,Southampton,n
317,0,male,64.0,1,4,263.0,First,C,Southampton,n
325,1,male,52.0,0,0,30.5,First,C,Southampton,y
327,0,male,30.0,0,0,27.75,First,C,Cherbourg,y
328,1,male,49.0,1,0,89.1042,First,C,Cherbourg,n
330,0,male,65.0,0,0,26.55,First,E,Southampton,y
331,1,female,28.0,1,0,51.8625,First,D,Southampton,n
332,1,male,48.0,0,0,26.55,First,E,Southampton,y
334,0,male,47.0,0,0,38.5,First,E,Southampton,y
342,1,female,23.0,0,0,13.7917,Second,D,Cherbourg,y
343,0,male,28.0,0,0,52.0,First,A,Southampton,y
350,1,male,25.0,1,0,91.0792,First,B,Cherbourg,n
352,1,female,35.0,1,0,90.0,First,C,Southampton,n
353,0,male,58.0,0,0,29.7,First,B,Cherbourg,y
358,0,female,25.0,1,2,151.55,First,C,Southampton,n
362,0,male,18.0,1,0,108.9,First,C,Cherbourg,n
368,0,male,47.0,0,0,34.0208,First,D,Southampton,y
369,1,female,34.0,0,0,10.5,Second,F,Southampton,y
372,1,female,30.0,0,0,93.5,First,B,Southampton,y
374,1,female,44.0,0,1,57.9792,First,B,Cherbourg,n
378,0,male,28.0,0,0,221.7792,First,C,Southampton,y
385,0,male,45.0,0,0,26.55,First,B,Southampton,y
387,1,female,22.0,0,2,49.5,First,B,Cherbourg,n
388,1,female,36.0,0,2,71.0,First,B,Southampton,n
391,0,male,50.0,1,0,106.425,First,C,Cherbourg,n
395,1,male,17.0,0,2,110.8833,First,C,Cherbourg,n
399,1,female,48.0,1,0,39.6,First,A,Cherbourg,n
401,1,female,39.0,1,1,79.65,First,E,Southampton,n
411,1,female,53.0,2,0,51.4792,First,C,Southampton,n
412,1,male,36.0,0,0,26.3875,First,E,Southampton,y
416,0,male,36.0,0,0,40.125,First,A,Cherbourg,y
418,1,male,60.0,1,1,79.2,First,B,Cherbourg,n
421,1,female,52.0,1,0,78.2667,First,D,Cherbourg,n
429,1,male,49.0,1,0,56.9292,First,A,Cherbourg,n
435,1,female,40.0,0,0,153.4625,First,C,Southampton,y
444,0,male,61.0,0,0,32.3208,First,D,Southampton,y
446,1,female,21.0,0,0,77.9583,First,D,Southampton,y
449,1,male,80.0,0,0,30.0,First,A,Southampton,y
451,1,male,32.0,0,0,30.5,First,B,Cherbourg,y
460,1,male,48.0,1,0,76.7292,First,D,Cherbourg,n
470,0,male,47.0,0,0,25.5875,First,E,Southampton,y
477,0,male,31.0,1,0,52.0,First,B,Southampton,n
482,1,male,36.0,0,1,512.3292,First,B,Cherbourg,n
483,1,male,27.0,0,0,76.7292,First,D,Cherbourg,y
489,1,female,15.0,0,1,211.3375,First,B,Southampton,n
490,1,male,31.0,1,0,57.0,First,B,Southampton,n
495,0,male,49.0,1,1,110.8833,First,C,Cherbourg,n
496,1,male,35.0,0,0,26.2875,First,E,Southampton,y
501,1,female,24.0,0,0,49.5042,First,C,Cherbourg,y
502,0,male,28.0,0,0,26.55,First,C,Southampton,y
503,1,male,48.0,1,0,52.0,First,C,Southampton,n
505,0,male,19.0,0,0,7.65,Third,F,Southampton,y
506,1,female,38.0,0,0,227.525,First,C,Cherbourg,y
507,1,female,27.0,0,0,10.5,Second,E,Southampton,y
512,1,male,27.0,1,0,53.1,First,E,Southampton,n
516,1,female,29.0,0,0,211.3375,First,B,Southampton,y
521,1,male,35.0,0,0,512.3292,First,B,Cherbourg,y
524,0,male,36.0,1,0,78.85,First,C,Southampton,n
525,1,female,21.0,2,2,262.375,First,B,Cherbourg,n
527,0,male,70.0,1,1,71.0,First,B,Southampton,n
529,1,male,6.0,0,1,12.475,Third,E,Southampton,n
538,1,female,51.0,1,0,77.9583,First,D,Southampton,n
543,0,female,57.0,0,0,10.5,Second,E,Southampton,y
545,0,male,28.0,0,0,7.75,Third,F,Queenstown,y
547,1,female,17.0,1,0,57.0,First,B,Southampton,n
548,0,male,29.0,0,0,30.0,First,D,Southampton,y
552,0,male,46.0,0,0,79.2,First,B,Cherbourg,y
559,1,female,49.0,0,0,25.9292,First,D,Southampton,y
565,1,male,11.0,1,2,120.0,First,B,Southampton,n
567,0,male,39.0,0,0,0.0,First,A,Southampton,y
569,1,female,33.0,1,0,53.1,First,E,Southampton,n
574,0,male,28.0,0,0,0.0,First,B,Southampton,y
578,1,female,52.0,1,1,93.5,First,B,Southampton,n
588,1,female,39.0,1,1,83.1583,First,E,Cherbourg,n
591,1,male,28.0,0,0,29.7,First,C,Cherbourg,y
599,1,female,28.0,1,0,89.1042,First,C,Cherbourg,n
601,1,female,16.0,0,1,39.4,First,D,Southampton,n
604,1,male,51.0,0,0,26.55,First,E,Southampton,y
610,0,male,31.0,0,0,50.4958,First,A,Southampton,y
613,1,female,47.0,1,1,52.5542,First,D,Southampton,n
614,0,male,33.0,0,0,5.0,First,B,Southampton,y
624,1,female,19.0,0,0,30.0,First,B,Southampton,y
0,0,male,22.0,1,0,7.25,Third,F,Southampton,n
2,1,female,26.0,0,0,7.925,Third,E,Southampton,y
4,0,male,28.0,0,0,8.4583,Third,F,Queenstown,y
5,0,male,2.0,3,1,21.075,Third,G,Southampton,n
6,1,female,27.0,0,2,11.1333,Third,G,Southampton,n
7,1,female,14.0,1,0,30.0708,Second,D,Cherbourg,n
9,0,male,20.0,0,0,8.05,Third,F,Southampton,y
10,0,male,39.0,1,5,31.275,Third,G,Southampton,n
11,0,female,14.0,0,0,7.8542,Third,F,Southampton,y
12,0,male,2.0,4,1,29.125,Third,G,Queenstown,n
13,1,male,28.0,0,0,13.0,Second,E,Southampton,y
14,0,female,31.0,1,0,18.0,Third,G,Southampton,n
15,1,female,28.0,0,0,7.225,Third,D,Cherbourg,y
16,0,male,35.0,0,0,26.0,Second,E,Southampton,y
18,1,female,38.0,1,5,31.3875,Third,G,Southampton,n
19,0,male,28.0,0,0,7.225,Third,F,Cherbourg,y
21,1,female,28.0,0,0,7.8792,Third,E,Queenstown,y
22,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
23,0,male,40.0,0,0,27.7208,First,C,Cherbourg,y
25,1,female,28.0,0,0,7.75,Third,E,Queenstown,y
26,0,male,66.0,0,0,10.5,Second,E,Southampton,y
27,0,male,28.0,1,0,82.1708,First,C,Cherbourg,n
28,0,male,42.0,1,0,52.0,First,C,Southampton,n
29,1,male,28.0,0,0,7.2292,Third,D,Cherbourg,y
30,1,female,14.0,1,0,11.2417,Third,G,Cherbourg,n
31,0,female,40.0,1,0,9.475,Third,G,Southampton,n
32,0,female,27.0,1,0,21.0,Second,G,Southampton,n
33,0,male,28.0,0,0,7.8958,Third,F,Cherbourg,y
34,1,female,3.0,1,2,41.5792,Second,D,Cherbourg,n
35,0,male,28.0,0,0,8.05,Third,F,Southampton,y
36,0,male,28.0,1,0,15.5,Third,F,Queenstown,n
37,0,male,28.0,2,0,21.6792,Third,D,Cherbourg,n
38,0,female,18.0,1,0,17.8,Third,G,Southampton,n
39,0,male,7.0,4,1,39.6875,Third,G,Southampton,n
41,1,female,29.0,1,0,26.0,Second,F,Southampton,n
44,1,female,21.0,0,0,10.5,Second,E,Southampton,y
45,0,male,28.5,0,0,7.2292,Third,F,Cherbourg,y
46,0,male,11.0,5,2,46.9,Third,G,Southampton,n
47,0,male,22.0,0,0,7.2292,Third,F,Cherbourg,y
50,0,male,4.0,3,2,27.9,Third,G,Southampton,n
51,1,male,28.0,1,1,15.2458,Third,E,Cherbourg,n
52,0,male,19.0,0,0,8.1583,Third,F,Southampton,y
53,1,female,17.0,4,2,7.925,Third,G,Southampton,n
54,0,male,26.0,2,0,8.6625,Third,F,Southampton,n
55,0,male,32.0,0,0,10.5,Second,E,Southampton,y
56,0,male,21.0,0,0,73.5,Second,F,Southampton,y
57,1,male,32.0,0,0,56.4958,Third,E,Southampton,y
59,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
60,0,male,28.0,0,0,8.05,Third,F,Southampton,y
61,1,male,0.83,0,2,29.0,Second,F,Southampton,n
62,1,female,30.0,0,0,12.475,Third,E,Southampton,y
63,0,male,22.0,0,0,9.0,Third,F,Southampton,y
64,1,male,29.0,0,0,9.5,Third,E,Southampton,y
65,1,female,28.0,0,0,7.7875,Third,E,Queenstown,y
66,0,male,28.0,0,0,47.1,First,A,Southampton,y
67,0,male,16.0,1,3,34.375,Third,G,Southampton,n
68,0,male,28.0,0,0,8.05,Third,F,Southampton,y
70,0,male,24.0,0,0,8.05,Third,F,Southampton,y
72,0,male,59.0,0,0,7.25,Third,F,Southampton,y
73,0,male,28.0,0,0,8.05,Third,F,Southampton,y
76,1,female,34.0,0,1,23.0,Second,F,Southampton,n
77,0,male,34.0,1,0,26.0,Second,F,Southampton,n
78,0,female,28.0,0,0,7.8958,Third,F,Southampton,y
79,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
81,0,male,33.0,0,0,8.6542,Third,F,Southampton,y
82,0,male,37.0,2,0,7.925,Third,F,Southampton,n
83,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
84,1,male,28.0,0,0,7.775,Third,E,Southampton,y
85,1,female,28.0,1,0,24.15,Third,G,Queenstown,n
87,0,female,14.5,1,0,14.4542,Third,G,Cherbourg,n
88,0,male,22.0,0,0,8.05,Third,F,Southampton,y
89,0,female,17.0,0,0,14.4583,Third,D,Cherbourg,y
90,0,male,21.0,0,0,7.925,Third,F,Southampton,y
91,0,male,70.5,0,0,7.75,Third,F,Queenstown,y
92,0,male,29.0,1,0,21.0,Second,F,Southampton,n
94,0,male,28.0,0,0,8.05,Third,F,Southampton,y
95,0,male,32.5,1,0,30.0708,Second,D,Cherbourg,n
97,0,male,28.0,0,0,7.75,Third,F,Queenstown,y
98,1,male,24.0,0,0,7.1417,Third,E,Southampton,y
99,0,male,45.0,0,0,6.975,Third,F,Southampton,y
100,0,male,20.0,0,0,7.05,Third,F,Southampton,y
101,0,female,47.0,1,0,14.5,Third,G,Southampton,n
102,0,male,23.0,0,0,15.0458,Second,D,Cherbourg,y
105,0,male,16.0,0,0,9.2167,Third,F,Southampton,y
107,0,female,28.0,0,2,15.2458,Third,G,Cherbourg,n
108,1,female,22.0,0,0,7.75,Third,E,Southampton,y
109,0,male,19.0,0,0,6.75,Third,F,Queenstown,y
110,0,male,18.0,0,0,11.5,Second,E,Southampton,y
111,0,female,9.0,2,2,34.375,Third,G,Southampton,n
112,0,male,51.0,0,0,12.525,Second,E,Southampton,y
113,0,male,55.5,0,0,8.05,Third,E,Southampton,y
114,0,male,40.5,0,2,14.5,Third,G,Southampton,n
115,0,male,28.0,0,0,7.3125,Third,F,Southampton,y
116,0,male,51.0,0,1,61.3792,First,B,Cherbourg,n
117,1,female,16.0,0,0,7.7333,Third,E,Queenstown,y
118,0,male,28.0,0,0,8.6625,Third,F,Southampton,y
119,0,male,28.0,8,2,69.55,Third,G,Southampton,n
120,0,male,44.0,0,1,16.1,Third,G,Southampton,n
121,0,male,26.0,0,0,7.775,Third,F,Southampton,y
122,0,male,17.0,0,0,8.6625,Third,F,Southampton,y
123,0,male,1.0,4,1,39.6875,Third,G,Southampton,n
125,0,male,28.0,0,0,56.4958,Third,F,Southampton,y
126,0,male,4.0,4,1,29.125,Third,G,Queenstown,n
127,0,male,18.0,1,1,7.8542,Third,G,Southampton,n
128,0,male,28.0,3,1,25.4667,Third,G,Southampton,n
130,0,male,30.0,0,0,13.0,Second,E,Southampton,y
131,0,male,36.0,0,0,0.0,Third,F,Southampton,y
132,0,female,28.0,8,2,69.55,Third,G,Southampton,n
133,0,male,28.0,0,0,15.05,Second,D,Cherbourg,y
134,0,male,9.0,4,2,31.3875,Third,G,Southampton,n
135,1,female,4.0,0,2,22.025,Third,G,Southampton,n
136,1,female,28.0,1,0,15.5,Third,G,Queenstown,n
137,1,male,45.0,0,0,26.55,First,E,Southampton,y
138,0,male,36.0,0,0,7.8958,Third,F,Southampton,y
139,1,female,32.0,0,0,13.0,Second,E,Southampton,y
140,1,female,19.0,1,0,7.8542,Third,G,Southampton,n
144,0,male,28.0,0,0,7.75,Third,F,Queenstown,y
145,1,female,28.0,0,0,7.75,Third,E,Queenstown,y
146,0,female,24.0,0,0,13.0,Second,F,Southampton,y
147,0,male,28.0,0,0,9.5,Third,F,Southampton,y
148,0,male,28.0,8,2,69.55,Third,G,Southampton,n
149,0,male,34.0,0,0,6.4958,Third,F,Southampton,y
151,0,male,32.0,1,0,15.85,Third,G,Southampton,n
152,1,male,26.0,0,0,18.7875,Third,D,Cherbourg,y
153,1,female,16.0,0,0,7.75,Third,E,Queenstown,y
155,1,female,35.0,0,0,21.0,Second,E,Southampton,y
156,0,male,22.0,0,0,7.25,Third,F,Southampton,y
157,0,male,28.0,1,0,7.75,Third,F,Queenstown,n
159,1,female,27.0,0,0,7.925,Third,E,Southampton,y
160,0,male,42.0,1,0,27.0,Second,F,Southampton,n
161,0,male,30.0,0,0,10.5,Second,E,Southampton,y
162,1,male,16.0,0,0,8.05,Third,E,Southampton,y
163,0,male,51.0,0,0,8.05,Third,F,Southampton,y
164,0,male,22.0,0,0,9.35,Third,F,Southampton,y
165,1,male,19.0,0,0,10.5,Second,E,Southampton,y
166,0,male,20.5,0,0,7.25,Third,F,Southampton,y
167,0,male,18.0,0,0,13.0,Second,F,Southampton,y
168,0,female,28.0,3,1,25.4667,Third,G,Southampton,n
170,0,male,29.0,0,0,7.775,Third,F,Southampton,y
171,0,male,59.0,0,0,13.5,Second,E,Southampton,y
172,0,female,28.0,0,0,7.55,Third,F,Southampton,y
173,0,male,44.0,1,0,26.0,Second,F,Southampton,n
174,0,male,19.0,0,0,10.5,Second,E,Southampton,y
175,0,male,33.0,0,0,12.275,Second,E,Southampton,y
176,0,female,28.0,1,0,14.4542,Third,G,Cherbourg,n
177,1,female,28.0,1,0,15.5,Third,G,Queenstown,n
178,0,male,22.0,0,0,7.125,Third,F,Southampton,y
179,0,male,30.0,0,0,7.225,Third,F,Cherbourg,y
181,1,female,24.0,0,2,14.5,Second,F,Southampton,n
182,0,male,28.0,0,0,7.25,Third,F,Southampton,y
184,0,male,30.0,1,0,16.1,Third,G,Southampton,n
185,0,female,41.0,0,2,20.2125,Third,G,Southampton,n
186,1,female,28.0,0,0,79.2,First,B,Cherbourg,y
187,1,female,35.0,0,0,512.3292,First,B,Cherbourg,y
188,1,female,50.0,0,1,26.0,Second,F,Southampton,n
189,0,male,28.0,0,0,7.75,Third,F,Queenstown,y
190,1,male,3.0,4,2,31.3875,Third,E,Southampton,n
192,0,female,28.0,0,0,7.75,Third,F,Queenstown,y
193,0,male,36.0,0,0,10.5,Second,E,Southampton,y
194,0,male,16.0,4,1,39.6875,Third,G,Southampton,n
195,1,male,25.0,1,0,7.775,Third,E,Southampton,n
198,0,male,28.0,0,0,31.0,First,C,Southampton,y
199,1,male,25.0,0,0,0.0,Third,E,Southampton,y
200,1,female,41.0,0,1,19.5,Second,E,Southampton,n
202,1,female,28.0,0,0,7.75,Third,E,Queenstown,y
204,0,female,45.0,0,0,7.75,Third,F,Southampton,y
205,0,male,28.0,0,0,0.0,Second,E,Southampton,y
206,0,male,7.0,4,1,29.125,Third,G,Queenstown,n
207,1,female,35.0,1,1,20.25,Third,G,Southampton,n
208,0,male,28.0,0,0,7.8542,Third,F,Southampton,y
209,0,male,16.0,0,0,9.5,Third,F,Southampton,y
211,1,female,26.0,0,0,78.85,First,D,Southampton,y
213,0,male,24.0,0,0,7.8958,Third,F,Southampton,y
216,1,female,28.0,0,0,7.75,Third,E,Queenstown,y
217,0,male,19.0,0,0,0.0,Third,F,Southampton,y
219,0,male,28.0,0,0,8.05,Third,F,Southampton,y
220,1,female,28.0,0,0,110.8833,First,C,Cherbourg,y
222,0,male,30.0,1,0,24.0,Second,D,Cherbourg,n
226,0,female,26.0,1,1,26.0,Second,F,Southampton,n
227,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
228,0,male,43.0,1,1,26.25,Second,F,Southampton,n
229,1,female,24.0,1,0,26.0,Second,F,Southampton,n
232,0,male,22.0,0,0,7.25,Third,F,Southampton,y
233,0,male,27.0,0,0,7.8958,Third,F,Southampton,y
234,1,female,22.0,1,1,29.0,Second,F,Southampton,n
235,0,male,28.0,8,2,69.55,Third,G,Southampton,n
237,0,male,61.0,0,0,6.2375,Third,F,Southampton,y
238,1,female,31.0,1,1,20.525,Third,G,Southampton,n
239,1,female,28.0,2,0,23.25,Third,G,Queenstown,n
241,1,female,28.0,1,0,133.65,First,C,Southampton,n
242,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
244,1,male,45.0,0,0,8.05,Third,E,Southampton,y
245,0,male,45.0,0,0,35.5,First,B,Southampton,y
246,0,male,28.0,0,0,13.0,Second,E,Southampton,y
247,0,male,25.0,0,0,13.0,Second,F,Southampton,y
248,0,male,36.0,0,0,13.0,Second,E,Southampton,y
250,1,female,40.0,0,0,13.0,Second,E,Southampton,y
251,1,female,28.0,1,0,16.1,Third,G,Southampton,n
252,0,male,15.0,1,1,7.2292,Third,G,Cherbourg,n
253,0,male,25.0,1,0,17.8,Third,G,Southampton,n
254,0,male,28.0,0,0,7.225,Third,F,Cherbourg,y
255,0,male,28.0,0,0,9.5,Third,F,Southampton,y
257,0,female,38.0,0,0,13.0,Second,E,Southampton,y
258,1,female,28.0,0,0,7.8792,Third,E,Queenstown,y
259,1,female,28.0,0,0,7.8792,Third,E,Queenstown,y
260,0,male,40.0,1,4,27.9,Third,G,Southampton,n
261,0,male,29.0,1,0,27.7208,Second,D,Cherbourg,n
262,0,female,45.0,0,1,14.4542,Third,G,Cherbourg,n
263,0,male,35.0,0,0,7.05,Third,F,Southampton,y
264,0,male,28.0,1,0,15.5,Third,F,Queenstown,n
266,1,female,28.0,0,0,7.2292,Third,D,Cherbourg,y
267,1,female,28.0,0,0,7.75,Third,E,Queenstown,y
269,0,male,18.0,1,0,6.4958,Third,F,Southampton,n
270,0,male,19.0,0,0,8.05,Third,F,Southampton,y
271,1,female,28.0,1,0,82.1708,First,C,Cherbourg,n
273,0,male,19.0,0,0,7.775,Third,F,Southampton,y
274,1,female,42.0,0,0,227.525,First,C,Cherbourg,y
275,0,male,32.0,0,0,7.925,Third,F,Southampton,y
276,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
277,0,male,18.0,0,0,73.5,Second,F,Southampton,y
278,0,male,1.0,5,2,46.9,Third,G,Southampton,n
279,0,male,28.0,0,0,7.7292,Third,F,Queenstown,y
280,1,female,17.0,0,0,12.0,Second,D,Cherbourg,y
282,1,male,21.0,0,0,7.7958,Third,E,Southampton,y
285,0,male,22.0,0,0,7.7958,Third,F,Southampton,y
286,0,female,31.0,0,0,7.8542,Third,F,Southampton,y
287,0,male,46.0,0,0,26.0,Second,E,Southampton,y
288,0,male,23.0,0,0,10.5,Second,E,Southampton,y
289,1,male,39.0,0,0,7.925,Third,E,Southampton,y
290,0,male,26.0,0,0,8.05,Third,F,Southampton,y
291,0,male,28.0,1,0,15.85,Third,G,Southampton,n
292,0,male,34.0,1,0,21.0,Second,F,Southampton,n
293,1,male,3.0,1,1,18.75,Second,F,Southampton,n
294,0,male,21.0,0,0,7.775,Third,F,Southampton,y
295,0,female,28.0,3,1,25.4667,Third,G,Southampton,n
296,0,male,28.0,0,0,7.8958,Third,F,Southampton,y
297,0,male,28.0,0,0,6.8583,Third,F,Queenstown,y
298,0,male,28.0,0,0,0.0,Second,E,Southampton,y
299,1,male,44.0,0,0,7.925,Third,E,Southampton,y
300,0,female,28.0,0,0,8.05,Third,F,Southampton,y
301,1,female,34.0,1,1,32.5,Second,F,Southampton,n
302,1,female,18.0,0,2,13.0,Second,F,Southampton,n
303,0,male,30.0,0,0,13.0,Second,E,Southampton,y
304,0,male,28.0,0,0,7.8958,Third,F,Cherbourg,y
305,0,male,21.0,0,0,7.7333,Third,F,Queenstown,y
306,0,male,18.0,1,1,20.2125,Third,G,Southampton,n
307,1,female,19.0,0,0,26.0,Second,F,Southampton,y
308,0,male,28.0,0,0,7.75,Third,F,Queenstown,y
311,1,female,28.0,1,0,16.1,Third,G,Southampton,n
312,1,female,42.0,1,0,26.0,Second,F,Southampton,n
313,0,male,17.0,0,0,7.125,Third,F,Southampton,y
316,1,female,24.0,2,3,18.75,Second,F,Southampton,n
318,0,male,31.0,0,0,10.5,Second,E,Southampton,y
319,1,female,45.0,1,1,26.25,Second,F,Southampton,n
320,0,male,20.0,0,0,9.5,Third,F,Southampton,y
321,1,female,28.0,0,0,13.0,Second,E,Southampton,y
322,1,male,28.0,0,0,8.1125,Third,E,Southampton,y
323,1,male,34.0,0,0,26.55,First,E,Southampton,y
324,1,female,5.0,2,1,19.2583,Third,G,Cherbourg,n
326,0,male,36.0,1,2,27.75,Second,F,Southampton,n
329,1,male,29.0,0,0,7.8958,Third,E,Cherbourg,y
333,0,male,34.0,0,0,8.05,Third,F,Southampton,y
335,0,male,28.0,0,0,8.05,Third,F,Southampton,y
336,0,male,38.0,0,0,7.05,Third,F,Southampton,y
337,0,male,56.0,0,0,26.55,First,E,Southampton,y
338,0,male,28.0,0,0,7.725,Third,F,Queenstown,y
339,1,female,0.75,2,1,19.2583,Third,G,Cherbourg,n
340,0,male,28.0,0,0,7.25,Third,F,Southampton,y
341,1,female,33.0,1,2,27.75,Second,F,Southampton,n
344,0,male,34.0,1,0,21.0,Second,F,Southampton,n
345,0,male,29.0,1,0,7.0458,Third,F,Southampton,n
346,1,female,2.0,0,1,12.2875,Third,G,Southampton,n
347,0,male,9.0,5,2,46.9,Third,G,Southampton,n
348,0,male,28.0,0,0,0.0,Second,E,Southampton,y
349,1,female,63.0,0,0,9.5875,Third,E,Southampton,y
351,0,female,28.0,3,1,25.4667,Third,G,Southampton,n
354,1,male,9.0,1,1,15.9,Third,E,Southampton,n
355,0,male,28.0,1,0,19.9667,Third,G,Southampton,n
356,0,male,71.0,0,0,49.5042,First,A,Cherbourg,y
357,0,male,21.0,0,0,8.05,Third,F,Southampton,y
359,0,male,17.0,0,0,8.6625,Third,F,Southampton,y
360,0,female,21.0,0,0,7.75,Third,F,Queenstown,y
361,0,female,37.0,0,0,9.5875,Third,E,Southampton,y
363,1,female,33.0,0,2,26.0,Second,F,Southampton,n
364,1,male,28.0,0,0,26.55,First,C,Southampton,y
365,1,male,26.0,0,0,56.4958,Third,E,Southampton,y
366,1,female,54.0,1,0,59.4,First,D,Cherbourg,n
367,0,male,24.0,0,0,7.4958,Third,F,Southampton,y
370,1,female,36.0,1,0,26.0,Second,F,Southampton,n
371,0,male,32.0,0,0,7.8958,Third,F,Southampton,y
373,0,male,22.0,0,0,7.8958,Third,F,Southampton,y
375,0,male,28.0,0,0,7.2292,Third,F,Cherbourg,y
376,0,male,40.5,0,0,7.75,Third,F,Queenstown,y
377,1,female,50.0,0,0,10.5,Second,F,Southampton,y
379,0,male,23.0,2,1,11.5,Second,F,Southampton,n
380,1,female,2.0,1,1,26.0,Second,F,Southampton,n
381,0,male,17.0,1,1,7.2292,Third,G,Cherbourg,n
382,1,female,28.0,0,2,22.3583,Third,G,Cherbourg,n
383,0,female,30.0,0,0,8.6625,Third,F,Southampton,y
384,1,female,7.0,0,2,26.25,Second,F,Southampton,n
386,1,female,30.0,0,0,106.425,First,C,Cherbourg,y
389,0,female,9.0,4,2,31.275,Third,G,Southampton,n
390,0,female,11.0,4,2,31.275,Third,G,Southampton,n
392,1,female,19.0,1,0,26.0,Second,F,Southampton,n
393,1,male,28.0,0,0,13.8625,Second,D,Cherbourg,y
394,0,male,33.0,1,1,20.525,Third,G,Southampton,n
396,0,male,27.0,0,0,26.0,Second,E,Southampton,y
397,0,male,28.0,0,0,7.8292,Third,F,Queenstown,y
398,1,female,22.0,0,0,7.775,Third,E,Southampton,y
